depth,fix_depth,C,auc
6.0,1.0,10000.0,0.6950158227848101
15.0,9.0,0.01,0.7557666214382632
13.0,10.0,0.01,0.6157190635451505
11.0,1.0,1000.0,0.727743271221532
4.0,0.0,1.0,0.6387768817204301
