depth,fix_depth,C,auc
3.0,3.0,1.0,0.608974358974359
1.0,1.0,1000.0,0.64
1.0,1.0,100.0,0.7183600713012477
1.0,1.0,0.01,0.5220588235294117
7.0,7.0,0.1,0.653448275862069
