depth,fix_depth,C,auc
1.0,1.0,0.01,0.661723163841808
10.0,10.0,0.01,0.7589098532494759
1.0,0.0,1.0,0.8005698005698005
0.0,0.0,1.0,0.7390180878552971
1.0,0.0,0.01,0.7920968316126736
