depth,fix_depth,C,auc
1.0,0.0,10000.0,0.5420384351407
0.0,0.0,100.0,0.6851457000710732
8.0,8.0,1.0,0.6416083916083917
3.0,2.0,1.0,0.638768115942029
12.0,12.0,0.1,0.6784578696343402
