depth,fix_depth,C,auc
19.0,0.0,0.01,0.5868830290736985
12.0,12.0,100.0,0.5272108843537415
17.0,13.0,0.1,0.7533725354548598
18.0,2.0,0.01,0.699337286362051
19.0,3.0,0.01,0.6816176470588236
