depth,fix_depth,C,auc
3.0,3.0,1000.0,0.7271805273833671
9.0,1.0,100.0,0.8055555555555556
5.0,1.0,10.0,0.6334379905808477
16.0,7.0,1000.0,0.6574074074074074
15.0,0.0,100.0,0.6552403467297084
