depth,fix_depth,C,auc
8.0,8.0,100.0,0.7743827160493828
6.0,5.0,10.0,0.7556547619047619
4.0,1.0,10000.0,0.6860744297719087
6.0,2.0,0.1,0.7786163522012578
4.0,0.0,0.01,0.8196864111498258
